,source,title,image,description,url,price,typeName,onlineSellable,other_colors,brand,Høyde inkludert ryggputer,Høyde ryggstøtte,width,depth,clearance,arm_width,sit_width,sit_depth,sit_height,Dybde sjeselong,"Setedybde, sjeselong",height,Bredde høyre,Bredde venstre,Armlenehøyde,min_depth,max_depth,min_sit_depth,max_sit_depth,max_width,Setebredde høyre,Setebredde venstre,"Lengde, utslått","Bredde, utslått",bed_width,bed_length,length,Min. bredde,Tykkelse madrass,Antall sitteplasser,Høyde inkludert hodestøtte,Diameter,"Seng, høyde","Samlet dybde, slått ut",Sete diameter,Madrasslengde,Madrassbredde,Antall i pakken,Høyde på skuff (innvendig),Bredde på skuff (innvendig mål),Dybde på skuff (innvendig mål),Maks belastning/skuff,Høyde med ben ,Volum,Fyllvekt,Totalvekt,Skjermdiameter,Ledningslengde,Styrke,Tykkelse,Benhøyde,Flate,max_depth_a,min_depth_a,width_a
0,IKEA,SÖDERHAMN 3-seters sofa - Viarp beige/brun,https://www.ikea.com/no/no/images/products/soederhamn-3-seat-sofa-viarp-beige-brown__0802692_PE768543_S5.JPG,"IKEA - SÖDERHAMN, 3-seters sofa, Viarp beige/brun, I sofaserien SÖDERHAMN sitter du dypt, lavt og mykt, og får ekstra støtte av løse ryggputer. Alle modulene i sofaserien SÖDERHAMN kan brukes frittstående eller settes sammen til akkurat den sofakombinasjonen du vil ha og trenger, både stor og liten.",https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-viarp-beige-brun-s69305697/,6.195 NOK,3-seters sofa,True,"[{'productId': 's69305697', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-viarp-beige-brun-s69305697/', 'selected': True, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's29291715', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-lejde-gra-svart-s29291715/', 'selected': False, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's89135944', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-finnsta-turkis-s89135944/', 'selected': False, 'colors': [{'name': 'grønn', 'id': '10033'}]}, {'productId': 's69330022', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-samsta-mork-gul-s69330022/', 'selected': False, 'colors': [{'name': 'gul', 'id': '10042'}]}, {'productId': 's49305698', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-samsta-oransje-s49305698/', 'selected': False, 'colors': [{'name': 'oransje', 'id': '10112'}]}, {'productId': 's69151322', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-samsta-lys-rosa-s69151322/', 'selected': False, 'colors': [{'name': 'rosa', 'id': '10119'}]}, {'productId': 's99135260', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-3-seters-sofa-finnsta-hvit-s99135260/', 'selected': False, 'colors': [{'name': 'hvit', 'id': '10156'}]}]",SÖDERHAMN,83 cm,69 cm,198 cm,99 cm,14 cm,6 cm,186 cm,70 cm,39 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,198
1,IKEA,"SÖDERHAMN 4-seters sofa - med sjeselong og åpen ende, Viarp beige/brun",https://www.ikea.com/no/no/images/products/soederhamn-4-seat-sofa__0802723_PE768561_S5.JPG,"IKEA - SÖDERHAMN, 4-seters sofa, med sjeselong og åpen ende, Viarp beige/brun, I sofaserien SÖDERHAMN sitter du dypt, lavt og mykt, og får ekstra støtte av løse ryggputer. Trekket er enkelt å holde rent, det kan tas av og vaskes i maskin. 10 års garanti. Les om vilkårene i garantiheftet.",https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-viarp-beige-brun-s29305816/,8.990 NOK,4-seters sofa,True,"[{'productId': 's29305816', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-viarp-beige-brun-s29305816/', 'selected': True, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's89291717', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-lejde-gra-svart-s89291717/', 'selected': False, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's49282989', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-finnsta-turkis-s49282989/', 'selected': False, 'colors': [{'name': 'grønn', 'id': '10033'}]}, {'productId': 's29330024', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-samsta-mork-gul-s29330024/', 'selected': False, 'colors': [{'name': 'gul', 'id': '10042'}]}, {'productId': 's09305817', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-samsta-oransje-s09305817/', 'selected': False, 'colors': [{'name': 'oransje', 'id': '10112'}]}, {'productId': 's89284335', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-samsta-lys-rosa-s89284335/', 'selected': False, 'colors': [{'name': 'rosa', 'id': '10119'}]}, {'productId': 's49284295', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-og-apen-ende-finnsta-hvit-s49284295/', 'selected': False, 'colors': [{'name': 'hvit', 'id': '10156'}]}]",SÖDERHAMN,83 cm,69 cm,285 cm,99 cm,14 cm,6 cm,,70 cm,39 cm,151 cm,122 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,99,285
2,IKEA,KIVIK 3-seters sofa - Skiftebo mørk grå,https://www.ikea.com/no/no/images/products/kivik-3-seat-sofa-skiftebo-dark-grey__0784361_PE761737_S5.JPG,"IKEA - KIVIK, 3-seters sofa, Skiftebo mørk grå, KIVIK er en romslig sofaserie med mykt, dypt sete og behagelig støtte til ryggen. Seteputer med et øvre lag med viskoelastisk polyeter; former seg nøyaktig etter kroppens konturer og gjenopptar sin opprinnelige form når du reiser deg.",https://www.ikea.com/no/no/p/kivik-3-seters-sofa-skiftebo-mork-gra-s29305581/,4.499 NOK,3-seters sofa,True,"[{'productId': 's49194407', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-3-seters-sofa-hillared-beige-s49194407/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's09193754', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-3-seters-sofa-hillared-mork-bla-s09193754/', 'selected': False, 'colors': [{'name': 'blå', 'id': '10007'}]}, {'productId': 's29305581', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-3-seters-sofa-skiftebo-mork-gra-s29305581/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's29252974', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-3-seters-sofa-orrsta-rod-s29252974/', 'selected': False, 'colors': [{'name': 'rød', 'id': '10124'}]}, {'productId': 's39193677', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-3-seters-sofa-hillared-antrasitt-s39193677/', 'selected': False, 'colors': [{'name': 'svart', 'id': '10139'}]}]",KIVIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,IKEA,"KIVIK Hjørnesofa, 6-seters - med sjeselong, Skiftebo mørk grå",https://www.ikea.com/no/no/images/products/kivik-corner-sofa-6-seat__0809294_PE770987_S5.JPG,"IKEA - KIVIK, Hjørnesofa, 6-seters, med sjeselong, Skiftebo mørk grå, KIVIK er en romslig sofaserie med mykt, dypt sete og behagelig støtte til ryggen. Du kan plassere sjeselongen til venstre eller høyre i sofaen, og endre når du vil. 10 års garanti. Les om vilkårene i garantiheftet.",https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-med-sjeselong-skiftebo-mork-gra-s39305547/,12.098 NOK,"Hjørnesofa, 6-seters",True,"[{'productId': 's39194356', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-hillared-med-sjeselong-hillared-beige-s39194356/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's29193692', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-hillared-med-sjeselong-hillared-mork-bla-s29193692/', 'selected': False, 'colors': [{'name': 'blå', 'id': '10007'}]}, {'productId': 's39305547', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-med-sjeselong-skiftebo-mork-gra-s39305547/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's79252924', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-med-sjeselong-orrsta-rod-s79252924/', 'selected': False, 'colors': [{'name': 'rød', 'id': '10124'}]}, {'productId': 's69193609', 'pipUrl': 'https://www.ikea.com/no/no/p/kivik-hjornesofa-6-seters-hillared-med-sjeselong-hillared-antrasitt-s69193609/', 'selected': False, 'colors': [{'name': 'svart', 'id': '10139'}]}]",KIVIK,,,,,,24 cm,,60 cm,45 cm,163 cm,124 cm,83 cm,387 cm,257 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,0,387
4,IKEA,KARLSTAD 3-seters sofa - Knisa lys grå,https://www.ikea.com/no/no/images/products/karlstad-sofa__0404895_PE577343_S5.JPG,"IKEA - KARLSTAD, 3-seters sofa, Knisa lys grå, Seteputer av polyeter og polyesterfibervatt gir god sittekomfort. Trekket er enkelt å holde rent, det kan tas av og vaskes i maskin. 10 års garanti. Les om vilkårene i garantiheftet.",https://www.ikea.com/no/no/p/karlstad-3-seters-sofa-knisa-lys-gra-s39132698/,2.999 NOK,3-seters sofa,True,[],KARLSTAD,,,205 cm,93 cm,,,,56 cm,45 cm,,,80 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,205
5,IKEA,EKTORP 3-seters sofa - Nordvalla mørk grå,https://www.ikea.com/no/no/images/products/ektorp-three-seat-sofa__0728518_PE736345_S5.JPG,"IKEA - EKTORP, 3-seters sofa, Nordvalla mørk grå, Seteputer fylt med høyelastisk polyeter og polyesterfibervatt gir komfortabel støtte til kroppen din, og gjenopptar raskt sin opprinnelige form når du reiser deg. Vendbare ryggputer av polyesterfiber gir myk støtte for ryggen og to sider å slite på.",https://www.ikea.com/no/no/p/ektorp-3-seters-sofa-nordvalla-mork-gra-s59164914/,4.499 NOK,3-seters sofa,True,"[{'productId': 's49129209', 'pipUrl': 'https://www.ikea.com/no/no/p/ektorp-3-seters-sofa-nordvalla-mork-beige-s49129209/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's59164914', 'pipUrl': 'https://www.ikea.com/no/no/p/ektorp-3-seters-sofa-nordvalla-mork-gra-s59164914/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's89323983', 'pipUrl': 'https://www.ikea.com/no/no/p/ektorp-3-seters-sofa-tallmyra-hvit-svart-gra-s89323983/', 'selected': False, 'colors': [{'name': 'hvit', 'id': '10156'}]}, {'productId': 's09257519', 'pipUrl': 'https://www.ikea.com/no/no/p/ektorp-3-seters-sofa-lingbo-flerfarget-s09257519/', 'selected': False, 'colors': [{'name': 'flerfarget', 'id': '10583'}]}]",EKTORP,,,218 cm,88 cm,,,,49 cm,45 cm,,,88 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,218
6,IKEA,"VIMLE 3-seters sofa - med sjeselong, Gunnared mellomgrå",https://www.ikea.com/no/no/images/products/vimle-3-seat-sofa-with-chaise-longue-gunnared-medium-grey__0514362_PE639437_S5.JPG,"IKEA - VIMLE, 3-seters sofa, med sjeselong, Gunnared mellomgrå, Denne myke og koselige sofaen får et langt liv siden seteputene er fylt med høyelastisk polyeter som gir god støtte for kroppen og raskt gjenopptar sin opprinnelige form når du reiser deg.",https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-gunnared-mellomgra-s09284909/,7.995 NOK,3-seters sofa,True,"[{'productId': 's79284897', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-gunnared-beige-s79284897/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's59284916', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-orrsta-blasvart-s59284916/', 'selected': False, 'colors': [{'name': 'blå', 'id': '10007'}]}, {'productId': 's39206991', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-farsta-mork-brun-s39206991/', 'selected': False, 'colors': [{'name': 'brun', 'id': '10019'}]}, {'productId': 's09284909', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-gunnared-mellomgra-s09284909/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's29284932', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-tallmyra-svart-gra-s29284932/', 'selected': False, 'colors': [{'name': 'svart', 'id': '10139'}]}, {'productId': 's79299479', 'pipUrl': 'https://www.ikea.com/no/no/p/vimle-3-seters-sofa-med-sjeselong-dalstorp-flerfarget-s79299479/', 'selected': False, 'colors': [{'name': 'flerfarget', 'id': '10583'}]}]",VIMLE,83 cm,68 cm,252 cm,98 cm,6 cm,15 cm,222 cm,55 cm,48 cm,164 cm,125 cm,,,,68 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,98,252
7,IKEA,"NOCKEBY 3-seters sofa - med sjeselong, høyre Tallmyra, Tallmyra tre hvit/svart/tre",https://www.ikea.com/no/no/images/products/nockeby-3-seat-sofa-with-chaise-longue-right-tallmyra-white-black-wood__0389182_PE559362_S5.JPG,"IKEA - NOCKEBY, 3-seters sofa, med sjeselong, høyre Tallmyra, Tallmyra tre hvit/svart/tre, Du får ekstra myk komfort og støtte fordi de tykke seteputene har en kjerne av pocketfjærer og et øvre lag av polyeterskum og polyesterfibre. Trekket er enkelt å holde rent, det kan tas av og vaskes i maskin.",https://www.ikea.com/no/no/p/nockeby-3-seters-sofa-med-sjeselong-hoyre-tallmyra-tallmyra-tre-hvit-svart-tre-s49129266/,8.999 NOK,3-seters sofa,True,"[{'productId': 's59253019', 'pipUrl': 'https://www.ikea.com/no/no/p/nockeby-3-seters-sofa-med-sjeselong-hoyre-lejde-mork-beige-tre-s59253019/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's89150449', 'pipUrl': 'https://www.ikea.com/no/no/p/nockeby-3-seters-sofa-med-sjeselong-hoyre-tallmyra-tallmyra-tre-rustrod-tre-s89150449/', 'selected': False, 'colors': [{'name': 'brun', 'id': '10019'}]}, {'productId': 's49129266', 'pipUrl': 'https://www.ikea.com/no/no/p/nockeby-3-seters-sofa-med-sjeselong-hoyre-tallmyra-tallmyra-tre-hvit-svart-tre-s49129266/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}]",NOCKEBY,,,277 cm,,15 cm,,,,44 cm,,,82 cm,,,,97 cm,175 cm,60 cm,138 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,97,277
8,IKEA,KNOPPARP 2-seters sofa - Knisa lys grå,https://www.ikea.com/no/no/images/products/knopparp-2-seat-sofa-knisa-light-grey__0713943_PE729858_S5.JPG,"IKEA - KNOPPARP, 2-seters sofa, Knisa lys grå, KNOPPARP sofa er svært slitesterk takket være metallkonstruksjonen og sterke støttetekstiler. En liten og nett sofa som er enkel å møblere med også der du har begrenset med plass. Trekket er enkelt å holde rent, det kan tas av og vaskes i maskin.",https://www.ikea.com/no/no/p/knopparp-2-seters-sofa-knisa-lys-gra-10424621/,799 NOK,2-seters sofa,True,"[{'productId': '80424651', 'pipUrl': 'https://www.ikea.com/no/no/p/knopparp-2-seters-sofa-knisa-klarbla-80424651/', 'selected': False, 'colors': [{'name': 'blå', 'id': '10007'}]}, {'productId': '10424621', 'pipUrl': 'https://www.ikea.com/no/no/p/knopparp-2-seters-sofa-knisa-lys-gra-10424621/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}]",KNOPPARP,,,119 cm,76 cm,21 cm,4 cm,108 cm,54 cm,39 cm,,,70 cm,,,69 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,119
9,IKEA,"SÖDERHAMN 4-seters sofa - med sjeselong, Samsta mørk grå",https://www.ikea.com/no/no/images/products/soederhamn-4-seat-sofa__0666469_PE713556_S5.JPG,"IKEA - SÖDERHAMN, 4-seters sofa, med sjeselong, Samsta mørk grå, Alle modulene i sofaserien SÖDERHAMN kan brukes frittstående eller settes sammen til akkurat den sofakombinasjonen du vil ha og trenger, både stor og liten. Trekket er enkelt å holde rent, det kan tas av og vaskes i maskin.",https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-samsta-mork-gra-s79284374/,7.590 NOK,4-seters sofa,True,"[{'productId': 's99305827', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-viarp-beige-brun-s99305827/', 'selected': False, 'colors': [{'name': 'beige', 'id': '10003'}]}, {'productId': 's79284374', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-samsta-mork-gra-s79284374/', 'selected': True, 'colors': [{'name': 'grå', 'id': '10028'}]}, {'productId': 's59284351', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-finnsta-turkis-s59284351/', 'selected': False, 'colors': [{'name': 'grønn', 'id': '10033'}]}, {'productId': 's99330025', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-samsta-mork-gul-s99330025/', 'selected': False, 'colors': [{'name': 'gul', 'id': '10042'}]}, {'productId': 's19305826', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-samsta-oransje-s19305826/', 'selected': False, 'colors': [{'name': 'oransje', 'id': '10112'}]}, {'productId': 's29284362', 'pipUrl': 'https://www.ikea.com/no/no/p/soederhamn-4-seters-sofa-med-sjeselong-finnsta-hvit-s29284362/', 'selected': False, 'colors': [{'name': 'hvit', 'id': '10156'}]}]",SÖDERHAMN,83 cm,69 cm,291 cm,99 cm,14 cm,,,70 cm,39 cm,151 cm,122 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,99,291
