,source,model,image,description,url,price,sku,brand,width,width_i,height,height_i,length,length_i,sit_height,sit_height_i,depth,depth_i,sleep
0,mobelringen,Happy hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/270169009_3805203.png,"Oppsett: 2-seter, hjørne, 2-seter. Tekstil Shadow pewter. Ben oljet eik. Løse konvoluttputer (A1).",https://www.mobelringen.no/happy-hjornesofa-270169009,35599 NOK,270169009,TROELS MØBLER AS,269,269.0,89,89.0,269,269.0,47,47.0,102,102.0,False
1,mobelringen,Easy modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/185695045_808810.png,"Oppsett hjørne: H23/32-divan, standardputer (TD) arm D. Tekstil Troy light grey. Ben eik, 8 cm. Pris eks. nakkestøtte/midtarmlene.",https://www.mobelringen.no/easy-modulsofa-185695045,22299 NOK,185695045,SCAPA BALTIC UAB,325,325.0,90,90.0,260,260.0,,,95/154,,False
2,mobelringen,Marie modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/8/289009007_3711933.png,"Oppsett 2,5-seter, hjørne, 3-seter duo. Tekstil Ruby light grey. Ben børstet aluminium, 20 cm.",https://www.mobelringen.no/marie-modulsofa-289009007,35799 NOK,289009007,HJELLEGJERDE AS,273,273.0,80,80.0,235,235.0,45,45.0,88,88.0,False
3,mobelringen,Easy modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/185695071_8554049.png,"Oppsett hjørne (H23/32-divan TD arm D). Tekstil Danny grey. Ben sort, 5 cm. Pris eks. nakkestøtte/midtarmlene.",https://www.mobelringen.no/easy-modulsofa-185695071,22799 NOK,185695071,SCAPA BALTIC UAB,325,325.0,90,90.0,260,260.0,,,95/152,,False
4,mobelringen,Anne modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/275130006_3987328.jpg,"Oppsett: Arm 1-2,5-seter-90-endemodul høyre. Tekstil Laguna velvet dark blue, vinkelbein i sort. Med konvoluttputer 50x50/soft.",https://www.mobelringen.no/anne-hjornesofa-275130006,28699 NOK,275130006,HJELLEGJERDE AS,280,280.0,86,86.0,202,202.0,47,47.0,85,85.0,False
5,mobelringen,Sandefjord modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/8/289065003_3399881.png,"Oppsett 2,5-seter, sv, 1,5-seter. Arm J. Soft ryggpute. Med pyntepute (42x42 cm). Tekstil Mine koks. Ben E, matt sort.",https://www.mobelringen.no/sandefjord-modulsofa-289065003,39999 NOK,289065003,STORDAL AS,236,236.0,84,84.0,182,182.0,46,46.0,85,85.0,False
6,mobelringen,Mantovani pall,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/303569001_3967328.png,"Tekstil Panama Gold. Soft pute. Ben eik sort, 12 cm.",https://www.mobelringen.no/mantovani-pall-303569001,3999 NOK,303569001,HJELLEGJERDE AS,65,65.0,45,45.0,,,45,45.0,50,50.0,False
7,mobelringen,Ventos modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/306740001_8554055.png,"Oppsett E med longseat, arm A. Tekstil Nordby salt&pepper. Sorte ben.",https://www.mobelringen.no/ventos-modulsofa,23999 NOK,306740001,SCAPA BALTIC UAB,333,333.0,86,86.0,263,263.0,44,44.0,95/170,,False
8,mobelringen,HØDNEBØ® Hvaler pall,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292282001_3365294.png,"Hud Astro Line Black, stålbøyle sort.",https://www.mobelringen.no/hodnebor-hvaler-pall,9199 NOK,292282001,HØDNEBØ,106,106.0,46,46.0,,,46,46.0,60,60.0,False
9,mobelringen,System + modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/2/229611001_1182592.png,"Oda oppsett N53 vinkel venstre. Tekstil Smartie uni antrazite, 13 cm aluminium ben",https://www.mobelringen.no/system-modulsofa-229611001,44399 NOK,229611001,BRUNSTAD AS,245,245.0,86,86.0,245,245.0,45,45.0,79,79.0,False
