,source,model,image,description,url,price,height,width,depth,sit_depth,sit_width,sit_height,legs,SKU,sleep,clearance,max_depth,width_i
0,sofacompany,Paula,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/224903242111_paula_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/paula-3-seater-sofa-planet-grey-green-adjustable-224903242111,8999 NOK,76cm,217cm,90cm,60cm,183cm,40cm,Adjustable ,224903242111,n,,,217
1,sofacompany,Paula,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/224903240111_paula_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/paula-3-seater-sofa-maya-cream-adjustable-224903240111,8999 NOK,76cm,217cm,90cm,60cm,183cm,40cm,Adjustable ,224903240111,n,,,217
2,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125602194294_astha_2seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-2-seater-sofa-velour-matt-amber-black-matt-pc-steel-c-17cm-125602194294,7599 NOK,83cm,175cm,89cm,56cm,158cm,46cm,"Black Matt PC Steel, C, 17cm",125602194294,n,17,,175
3,sofacompany,Nora,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/22401304218111_nora_2seater_armright_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/nora-modular-sofa-danny-dusty-blue-adjustable-22401304218111,6999 NOK,82cm,151cm,90cm,60cm,149cm,44cm,Adjustable ,22401304218111,n,,,151
4,sofacompany,Nora,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/2240130321811_nora_2seater_armleft_1760x880grey_v1.jpg,,https://no.sofacompany.com/nora-modular-sofa-danny-dusty-blue-adjustable-22401303218111,6999 NOK,82cm,151cm,90cm,60cm,149cm,44cm,Adjustable ,22401303218111,n,,,151
5,sofacompany,Nora,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/22401301218111_nora_1seater_center_1760x880grey_v1.jpg,,https://no.sofacompany.com/nora-modular-sofa-danny-dusty-blue-adjustable-22401301218111,4499 NOK,82cm,110cm,93cm,60cm,94cm,44cm,Adjustable ,22401301218111,n,,,110
6,sofacompany,Nora,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/22401312218111_nora_2seater_chaise_left_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/nora-modular-sofa-danny-dusty-blue-adjustable-22401312218111,7499 NOK,82cm,151cm,117cm,86cm,149cm,44cm,Adjustable ,22401312218111,n,,,151
7,sofacompany,Nora,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/22401313218111_nora_2seater_chaise_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/nora-modular-sofa-danny-dusty-blue-adjustable-22401313218111,7499 NOK,82cm,151cm,117cm,86cm,149cm,44cm,Adjustable ,22401313218111,n,,,151
8,sofacompany,CHILL by SLS,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/3/232003248116207_chill_3seater_1760x880grey_v1.3.jpg,,https://no.sofacompany.com/chill-by-sls-sea-navy-black-metal-e-10-cm-232003248116207,19999 NOK,84cm,209cm,87cm,58cm,200cm,46cm,"Black Metal, E, 10 cm",232003248116207,n,10,,209
9,sofacompany,Alex,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/0/101505116188_Front_1.jpg,,https://no.sofacompany.com/alex-daybed-bench-leather-bronze-smoked-oak-a-28-cm-round-101505116188,13999 NOK,51cm,201cm,96cm,,,,"Smoked Oak, A, 28 cm, Round",101505116188,n,,,201
10,sofacompany,Anne,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/4/046103136032_Front_2.jpg,,https://no.sofacompany.com/anne-3-seater-sofa-velour-lux-dark-green-black-a-22-cm-046103136032,6999 NOK,82cm,181cm,80cm,54cm,150cm,47cm,"Black, A, 22 cm",046103136032,n,22,,181
11,sofacompany,Ellen,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/4/046503194012_ellen_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/ellen-3-seater-sofa-velour-matt-amber-oak-a-22-cm-046503194012,6999 NOK,90cm,196cm,84cm,53cm,158cm,47cm,"Oak, A, 22 cm",046503194012,n,22,,196
